791-83-6358,6382950691673
690-51-8607,2124106999821
615-56-9230,1945567579917
769-88-1785,9039436480179
439-37-1403,5232035548204
860-35-8535,7957421516890
674-15-7429,7612570168672
416-50-0206,8092343450484
534-44-7646,9463632569456
884-28-0680,5698098913592
659-39-7345,3109470831992
155-17-3243,0113921127074
139-82-2153,3391050453580
593-01-5951,9308444261982
775-31-3969,7051198359792
103-24-6816,3487577187367
032-31-4557,1201716852636
561-36-6936,2825762269948
219-71-8844,6517025684537
098-51-0681,6793549395355
160-38-4134,5331668312665
402-94-3568,8027869830843
247-78-4772,0094707660953
454-32-0582,0840530495854
004-07-8068,0054264315606
103-44-5492,2854907544686
604-38-2075,9395769757952
094-17-9066,6016050763122
709-04-7295,3120156770112
540-39-7592,2232749283065
733-86-8843,6808056491021
653-65-7554,4306248164997
677-13-2787,3780765481953
027-23-4190,7576263834944
740-36-7685,4137367117202
291-45-7191,9660579510996
669-10-2913,2334633444217
609-19-2679,1812402127525
200-68-1744,6927740434888
063-53-0173,2474265569084
052-16-7078,3947793486181
562-60-3842,6888257862791
500-53-7358,9672287704204
438-70-6183,0997060745359
271-03-5405,3154067852363
286-19-8379,9995071943103
344-30-9979,4400145444410
037-34-7259,3065024597760
804-15-1052,8176850962740
060-79-7725,3852513176319
537-06-5009,1244512425005
166-57-0472,1072649442850
041-38-3390,6565144758495
817-41-0785,5921055686452
148-97-0280,8395568789020
304-60-9806,1017014657582
631-54-0310,1011973660149
423-76-6986,1992232344501
184-76-9757,7455775751368
251-20-9582,9336081574444
493-77-1997,8560789127507
562-24-9727,9654196541931
256-23-2000,6775396483409
752-07-2341,0409940050193
544-92-4383,8892988049469
497-90-6769,6781736560541
430-70-4649,2802861172136
885-01-0062,3881749549069
268-93-7537,1659477759927
563-71-3366,5573268468053
685-42-5638,7752522428503
748-20-0031,5364302803083
191-22-0969,7824838935314
680-12-5316,3596936167874
360-83-0710,4187217605177
502-96-2193,4506521276718
418-40-5897,9412217306518
133-27-0015,3791578918479
839-46-6023,7397094755236
829-35-9571,3871757156871
835-56-8979,3502369046002
695-26-8779,2454131797061
426-54-2504,7361404531192
439-03-3076,9674725583840
005-16-1708,1273423305903
188-80-2823,4229693608975
563-99-1290,0790696679296
467-49-3379,0124281552505
194-17-9922,9750529527406
241-27-8483,6036380787156
812-75-3982,9813960637148
